nama;partai;dapil
H ACHMAD SUGESTIA SH., M.M;partai bulan bintang;Jawa Barat V
ACHMAD SUHAWI S.T., M.Si;partai golongan karya;Jawa Timur XI
ACHMAD WAHYUDDIN S.H;partai persatuan pembangunan;Jawa Timur X
ADAM HERYANTO;persatuan indonesia;Sulawesi Barat
Drs ADE HUSEN KARTADIPURA SH;persatuan indonesia;Jawa Barat II
ADE IRFAN PULUNGAN;partai persatuan pembangunan;Gorontalo
ADE IRMA JAZULI SH;partai berkarya;Lampung I
dr ADE IRMA SURYANI HASIBUAN;partai nasdem;Sumatera Utara II
ADE MARFUDDIN M.A.P;partai keadilan sejahtera;Banten III
ADE MEILIA NOVITA;partai solidaritas indonesia;Jawa Tengah III
ADE MUSTAGFIRIN S.E.sy;partai amanat nasional;Banten I
DRS ADE RATMADJA;partai kebangkitan bangsa;Jawa Barat II
ADE WARDANA S.E;partai golongan karya;Jawa Tengah I
ADE WARDHANA ADINATA SE. MM;partai kebangkitan bangsa;Jawa Barat V
H ADE YUSUP M.AG;partai kebangkitan bangsa;Jawa Barat IV
Ir ADELAIDA;partai nasdem;Jambi
ADELINE GLORIA;partai solidaritas indonesia;Jawa Tengah IX
ADEODATA TRIDECIMA;partai golongan karya;Nusa Tenggara Timur I
ADHE KURNIAWAN;partai solidaritas indonesia;Sulawesi Selatan I
ADHERIE ZULFIKRI S.H.;partai golongan karya;Sumatera Utara III
ADI BAIQUNI;partai golongan karya;Nusa Tenggara Barat II
Ir ADI DARMA M.Si;partai golongan karya;Kalimantan Timur
ADI GUNA SST;partai berkarya;Sumatera Selatan II
ADI HARNOWO S.Sos;partai golongan karya;Jawa Timur II
ADI PUTRA DARMAWAN TAHIR;partai golongan karya;Nusa Tenggara Barat II
ADI WICAKSONO SE., ME;partai amanat nasional;Banten I
ADISTIANA PRAHARA S.P;partai gerakan indonesia raya;Lampung I
ADISYAH NINDY FITRIANI A.Md;partai gerakan indonesia raya;Jawa Timur IV
ADITYA RUDI HERMAWAN S.E.;partai berkarya;Jawa Tengah III
Dr ADJAT DARADJAT M.Si;persatuan indonesia;Jawa Barat II
Prof, Dr ADJI SURATMAN CA., CMPA., AK;persatuan indonesia;Jawa Timur VIII
ADNA IBRA VICTORI DASDJAR;partai solidaritas indonesia;Kalimantan Selatan I
ADNA NATHANIA DASDJAR;partai solidaritas indonesia;Sumatera Utara II
ADRIAN AZHARI AKBAR HARAHAP ST;partai persatuan pembangunan;Sumatera Utara II
Ir ADRIAN L PONGSITANAN;persatuan indonesia;Papua
ADRIANA;partai gerakan indonesia raya;Sulawesi Barat
Ir ADRIANNA HERAWATY BURHAN;partai gerakan indonesia raya;Kepulauan RIAU
ADRIANUS AGUNG NUGROHO S.H M.H;partai solidaritas indonesia;Banten III
ADRID INDARYANTO SH., MM;persatuan indonesia;BALI
ADRIYANTO S.E;partai kebangkitan bangsa;Sulawesi Tengah
ADY GUNAWAN S.Pd;partai nasdem;Jawa Barat XI
ADY MUZADI;partai persatuan pembangunan;Dki Jakarta II
ADY SUPRATIKTO;partai keadilan sejahtera;Jawa Tengah II
AFDA RIZAL ARMASHITA;partai amanat nasional;D. I. Yogyakarta
AFDHAL SE;partai nasdem;Jawa Tengah IV
AFIFAH ALIA S.T.;partai demokrasi indonesia perjuangan;Jawa Barat IX
AFILIA TRI HANJANI;partai keadilan dan persatuan indonesia;Aceh I
AFRIAN BONDJOL S.H.;partai golongan karya;Jawa Barat III
AFRILIZA;partai persatuan pembangunan;Jawa Barat II
AFRIZAL HIDAYAT;partai persatuan pembangunan;Riau II
Ir AFRIZON NAZAR UNCU;partai gerakan indonesia raya;Sumatera Barat I
AGASTYA WIDHI HARJUNADHI M.Pd;partai bulan bintang;Jawa Timur X
AGENG WAHONO;partai nasdem;Jawa Tengah VIII
AGES STYANING PRATIWI S;persatuan indonesia;Jawa Tengah III
AGNES MARCELLINA;partai gerakan indonesia raya;Jawa Barat XI
AGOES BUDIJONO;persatuan indonesia;Jawa Timur IX
AGUNG;persatuan indonesia;Sulawesi Tengah
AGUNG BAHARI ST;partai keadilan sejahtera;Sumatera Selatan I
AGUNG PURNOMOJATI SH;partai amanat nasional;Jawa Tengah VI
AGUNG SANTOSO S.P;partai golongan karya;Jawa Timur I
AGUS ABDULATIF SE;partai keadilan sejahtera;Jawa Tengah V
AGUS ABDULLOHIL WAHID MG M.Sc;partai keadilan sejahtera;Jawa Timur IX
