nama;partai;dapil
DJENRI ALTING KEINTJEM S.H.,M.H.;partai demokrasi indonesia perjuangan;Sulawesi Utara
DJOKO EDHI SOETJIPTO ABDRAHMAN SH;partai berkarya;Jawa Timur XI
DJOKO SETIJONO S.IP.;partai berkarya;D. I. Yogyakarta
DJOKO WISENO SE;partai berkarya;Jawa Barat III
DJUMRIATI;partai gerakan indonesia raya;Sulawesi Selatan III
DJUNAIDY DRAKEL;partai kebangkitan bangsa;Kalimantan Tengah
DODDY JULIANTO SIAHAAN S.H.;partai demokrasi indonesia perjuangan;Sumatera Selatan I
H DODI SULARSO SH;partai persatuan pembangunan;Jambi
DODY YUSUF WIBISONO;persatuan indonesia;Sumatera Utara I
Ir DOLI SINOMBA SIREGAR;partai golongan karya;Sumatera Utara II
IR DOLI SYARIEF PULUNGAN Mech Eng,. MBA;partai bulan bintang;Sumatera Utara II
DONALD;partai berkarya;Sumatera Barat II
DONI BALNADI KOERDI S.Sos.,M.Si;persatuan indonesia;Jawa Barat II
DONI SAPUTRA;partai gerakan perubahan indonesia;Jawa Timur I
DONNA PAULA;persatuan indonesia;Sumatera Utara I
DONNY ADI WIGUNA S.T., M.A;partai solidaritas indonesia;Jawa Barat I
DONNY FERDIANSYAH SE;persatuan indonesia;Sumatera Barat II
DONNY KESUMA;partai berkarya;Jawa Barat XI
DONNY ROMMY SS;partai solidaritas indonesia;Jawa Barat II
DR.IR DONNY YOESGIANTORO MM, MPA;partai nasdem;Jawa Tengah I
DONY ENDRASSANTO SH;partai berkarya;Jawa Barat V
DONY RIDUKHA AFQRIID SH.,M.Hum;partai kebangkitan bangsa;Jawa Tengah VI
DOREL ALMIR S.H., M.Kn;partai golongan karya;Sumatera Barat II
IR DORIANGAT PAKPAHAN;partai bulan bintang;Sumatera Utara II
DORISMA;partai solidaritas indonesia;Jawa Barat VI
DR DOSSY ISKANDAR PRASETYO SH., M.Hum.;partai nasdem;Jawa Timur VIII
DR. H. MARHABAN SIGALINGGING;partai gerakan indonesia raya;Jawa Barat VI
DR. IBRAHIM HASYIM SE, MM;partai nasdem;Aceh II
DR. IR. MUHAMMAD ISRADI ZAINAL M.T.,M.H.,M.M.,CAAE.;partai keadilan sejahtera;Sulawesi Selatan I
DR. NIRU ANITA SINAGA, SH,MH;partai nasdem;Jawa Barat VII
DR.KH.KHOLILURRAHMAN,SH M.SI;partai nasdem;Jawa Timur XI
DRA TRINI SUMARTINI;partai nasdem;Jawa Tengah X
Hj DRA. MEDIATI HAFNI HANUM SH,. Mkn;partai nasdem;Aceh I
DRG. FERRY THOMAS TATO LATANNA;partai nasdem;Jawa Barat VII
DRS ALEXANDER ENA, M.SI;partai nasdem;Nusa Tenggara Timur I
DRS SYAURIUM SY;partai keadilan sejahtera;Sumatera Barat II
DRS. H. AKHMAD MUQOWAM;partai persatuan pembangunan;Jawa Tengah I
DRS. H. GUFRON AZIS FUADI;partai keadilan sejahtera;Jambi
DRS. NUR HASAN, M.SI;partai kebangkitan bangsa;Jawa Timur IV
DRS. TJOKORDA SUTHENDRA RAI, MM.;partai nasdem;Nusa Tenggara Barat II
DRS.H.ELIANUDDIN.HB;partai nasdem;Sumatera Selatan I
DUDDY R DEWAYANA;partai gerakan indonesia raya;Jawa Barat II
DUMOLI SIAHAAN;partai kebangkitan bangsa;Jawa Barat VI
DURROTUN NAFISAH;partai gerakan indonesia raya;Banten II
DWI AGUS SETIYORINI S.S;persatuan indonesia;Riau II
DWI ANGGRAINI KUSUMA ST;partai keadilan sejahtera;Nusa Tenggara Barat II
DWI APRIYANTI S.Pd;partai gerakan indonesia raya;Sumatera Utara III
DWI INDAH PUJI ASTUTIK;persatuan indonesia;Jawa Timur II
DWI LISTIANTI S.Si;partai persatuan pembangunan;Sumatera Selatan I
DWI LUHNUARI JUMWATI;partai demokrasi indonesia perjuangan;Aceh I
DWI PRIYO ATMOJO;partai golongan karya;Jawa Timur IV
DWI PUTRA BUDIYANTO SH, MH;persatuan indonesia;Jawa Tengah II
DWI PUTRO MUDJIWIDODO SH.;partai berkarya;Jawa Timur VI
Dr,Hj DWI RATNA KARTIKAWATI SH,M,Kn;partai nasdem;Jawa Barat XI
Dra DWI SEPTAHANY ISNANIEK;partai gerakan indonesia raya;Jawa Timur VII
DWI SURYAWATI SAID;partai berkarya;Jawa Barat IX
DWI SUSILOWATI SH,I;partai persatuan pembangunan;Jawa Timur II
DWI TJIPTODHARMONO;partai demokrasi indonesia perjuangan;Sulawesi Tengah
DWI TRIJONO SH;partai keadilan sejahtera;Sulawesi Utara
DWIE AROEM HADIATIE S.I.Kom;partai golongan karya;Lampung I
DWIGHT GEORGE NAYOAN S.H;partai kebangkitan bangsa;Sulawesi Utara
DWIKI DHARMAWAN;partai amanat nasional;Jawa Barat IX
DWINARNO WAHYU JATMIKO;persatuan indonesia;Jawa Timur X
DWY SORAYA GEMITA;persatuan indonesia;Maluku Utara
DYAH ARUM SARI S.S;persatuan indonesia;Jawa Timur V
DYAH AYU NURANI S.Pd;partai gerakan indonesia raya;Riau II
DYAH HAYU KUMARAWATI;partai demokrasi indonesia perjuangan;Sulawesi Selatan III
DYAH PERWITASARI PURWANTININGSIH S.P;partai nasdem;Kalimantan Timur
DYAH RETNO SAVITRI;partai keadilan sejahtera;Jawa Timur X
DYAN NUGRAHINI S.Kom., M.M;persatuan indonesia;Jawa Timur IV
E S MARULI HUTAGALUNG S.H, M.Hum;partai nasdem;Jawa Timur I
E. MANSUR AINI;partai persatuan pembangunan;Banten II
DR E.F. THANA YUDHA SH,.MH;partai bulan bintang;Sumatera Selatan II
EBERT IMMANUEL TULLE;partai solidaritas indonesia;Papua Barat
Drs EC. H. M. IMRON SYUKUR MM;partai berkarya;Jawa Timur I
Dra EC. OURIDA SESKANIA;partai berkarya;Kalimantan Utara
Drs EDDIE BUDI PRABOWO;partai golongan karya;Jawa Timur IV
Ir EDDY KUNTADI;partai golongan karya;Jawa Timur X
EDDY MUNZIRRIAN;partai berkarya;Jawa Barat IV
EDDY WAHYONO;persatuan indonesia;Jawa Timur V
EDHY PRABOWO MM., MBA;partai gerakan indonesia raya;Sumatera Selatan I
EDI AGUS YANTO S.IP;partai amanat nasional;Lampung I
EDI AMROJI;partai solidaritas indonesia;Lampung II
EDI GHAZALI;partai solidaritas indonesia;Lampung II
EDI HARAPAN SH.,M.kn;partai bulan bintang;Dki Jakarta III
EDI HERMAN S.E.;partai golongan karya;Sumatera Barat II
Prof. Dr EDI KUSNADI M.Pd.;persatuan indonesia;Lampung I
EDI KUSUMA;partai gerakan indonesia raya;Sumatera Utara I
EDISON BETAUBUN S.H., M,H.;partai golongan karya;Maluku
EDIYANTO BUDI SAPTOMO S.T.;persatuan indonesia;Jawa Barat XI
EDRIANA SH., MA;partai gerakan indonesia raya;Sumatera Barat I
EDWARD MOHAMMAD ROZIE AMD;partai solidaritas indonesia;Bengkulu
Ir EDWARD TANARI M.Si;partai demokrasi indonesia perjuangan;Sulawesi Selatan III
EDY JUWONO SLAMET;partai bulan bintang;Jawa Timur I
EDY MULYANTO S.Si.T.,M.Si.,M.MAR;partai berkarya;Jawa Tengah I
EDY SANTOSO;persatuan indonesia;Jawa Timur XI
EDY SUKSMONO;partai demokrasi indonesia perjuangan;Nusa Tenggara Barat II
Dr EDYSON TATULUS SAB, MAP, M.Min;persatuan indonesia;Kepulauan RIAU
EFENDI;partai nasdem;Aceh II
EFFENDI SIMAMORA;partai solidaritas indonesia;Sumatera Utara I
Dra EFFI SETIAWATI Apt., MM, MBiomed;partai bulan bintang;Jawa Barat VI
EFFRI DANDA S.E;persatuan indonesia;Aceh I
EFIN NURTJAHJA G S.E., M.Si.;partai golongan karya;Lampung I
EFRIDA RANA FRISTIANTI;partai persatuan pembangunan;Sumatera Utara III
Dr EGGI SUDJANA S.H., M.Si.;partai amanat nasional;Dki Jakarta II
EHA JULAEHA;partai kebangkitan bangsa;Gorontalo
EKA GUMILAR;partai gerakan indonesia raya;Jawa Barat V
EKA HADI SUCIPTO SE.;partai berkarya;Sumatera Utara III
EKA PUTRIANINSIH S.Pd;partai persatuan pembangunan;Nusa Tenggara Barat I
EKA SASTRA;partai golongan karya;Jawa Barat III
EKA VERA RAHMI;partai solidaritas indonesia;Jawa Tengah IV
EKA ZUHRIAH;partai amanat nasional;Papua
EKANANTA NIKKY INDRAGIRI S.H;partai golongan karya;Jawa Tengah III
EKO AGUNG SUGIYARTO;persatuan indonesia;Jawa Tengah III
EKO BUDI CAHYONO SE.,MM;partai kebangkitan bangsa;BALI
EKO HADI WARDOYO;persatuan indonesia;Jawa Timur I
EKO MARHENDI J;partai solidaritas indonesia;Sumatera Utara I
DR EKO SARJONO PUTRO MM;partai golongan karya;Jawa Tengah V
EKO SRIYANTO;partai gerakan indonesia raya;Jawa Tengah V
EKO SULISTYOWATI SH;persatuan indonesia;Lampung II
EKO SURANTO SH., MH;persatuan indonesia;Nusa Tenggara Barat II
Ir EKOWASIS BUDIARTO;partai kebangkitan bangsa;Jawa Timur VI
EKSANTI AMD;partai amanat nasional;Jawa Barat II
ELA NOFITA SARI;partai solidaritas indonesia;Jambi
ELDORA YOTASIA MANAN;persatuan indonesia;Kep. Bangka Belitung
ELEN LENI RUBIANTI;partai amanat nasional;Jawa Barat II
ELFINUS OMALENG;partai solidaritas indonesia;Papua
ELFIRA TRI YULIANI HENAN S.SI.,MH;persatuan indonesia;Maluku
ELI WANDANI;partai solidaritas indonesia;Sumatera Selatan II
ELIDA NETTI SH., MH;partai amanat nasional;Riau I
ELIN NUR ASLICHAH S.PD.I;partai kebangkitan bangsa;Sumatera Barat I
ELION NUMBERI S.Th.;partai golongan karya;Papua
ELITA KARLINA S.Th.I;partai amanat nasional;Kalimantan Utara
Dr ELIYA, MARS;partai berkarya;Banten I
ELIZE MARIA TUWAHATU;partai berkarya;Dki Jakarta III
Dra. Hj ELLA M.GIRIKOMALA M.M.PD.;partai kebangkitan bangsa;Jawa Barat I
ELLSYE LYDIA S.H.;partai demokrasi indonesia perjuangan;Jawa Barat XI
ELLY KARLINA;partai berkarya;Jawa Barat V
ELLY RAKHMAWATI ST;persatuan indonesia;Jawa Timur XI
ELLY YULIATI;partai persatuan pembangunan;Lampung II
ELLYA INDAH LESTARI;partai berkarya;Sumatera Selatan I
DRA ELLYA YUNUS M.Si;partai bulan bintang;Maluku
ELLYSA KURNIA HANDAYANI;partai demokrasi indonesia perjuangan;Kalimantan Selatan II
ELMA AGUSTIN;partai golongan karya;Kalimantan Barat I
ELMANSYAH T.B S.H., M.S.I.;partai nasdem;Riau II
Dra ELMAYETTI;partai bulan bintang;Sumatera Barat I
ELOK MARDIANA;persatuan indonesia;Jawa Timur II
ELSA ANGGRAENI;partai solidaritas indonesia;Dki Jakarta II
Ir ELVYANI NH. GAFFAR M.Si;partai amanat nasional;Kalimantan Timur
dr ELYANTI FEJRI A.;partai keadilan sejahtera;Sumatera Barat I
ELYU CHOMISAH S.IP, M.KES;partai berkarya;Sumatera Selatan II
ELYUSNITA OLIVIA;partai amanat nasional;Jawa Timur VII
ELZA MELLYANTI;persatuan indonesia;Sumatera Selatan II
EMAN SUKIRMAN SE,.MSi.;partai keadilan sejahtera;Banten II
EMAN SULISTIANI;persatuan indonesia;Kepulauan RIAU
EMI PURNAMASARI;partai amanat nasional;Jawa Barat III
EMI SULYUWATI S.E.;partai demokrasi indonesia perjuangan;Lampung II
EMIELIANY;partai kebangkitan bangsa;Dki Jakarta II
EMIL M IBRAHIM SH., MBA;partai gerakan indonesia raya;Sumatera Utara I
EMILIA DEWI ISDIANTY;partai nasdem;Riau I
EMIR BARAMULI M.B.A;partai golongan karya;Sulawesi Selatan III
EMMALIA NATAR S.E., M.M;partai golongan karya;Riau I
EMMANUEL JOSAFAT TULAR, S.IP M.Si;partai nasdem;Sulawesi Utara
EMMY LUMBAN RAJA S.E.,M.Si;partai demokrasi indonesia perjuangan;Banten III
EMY FATMAWATI;partai kebangkitan bangsa;Jawa Timur IV
EMY MARIYATI S.H;partai golongan karya;Papua Barat
ENDAH ETNAWATI S.Hut;partai keadilan sejahtera;Jawa Tengah III
DRG ENDAH FUTIHATUL FAJRIYAH;partai kebangkitan bangsa;Jawa Barat X
ENDAH PRATIWI;partai demokrasi indonesia perjuangan;Kalimantan Tengah
ENDAH ROSANAH;partai bulan bintang;Jawa Barat III
ENDAH SRICAHYANI SUCIPTO S.Pt.,M.Si.;partai demokrasi indonesia perjuangan;Sumatera Utara I
ENDANG AGUSTINI S.I.P;partai golongan karya;Jawa Timur V
ENDANG ANJARSARI S.E;partai golongan karya;Jawa Tengah VIII
ENDANG SETYOWATI;partai amanat nasional;Jawa Timur VII
ENDANG SRI SUKMAWATI SE;partai amanat nasional;Jawa Timur V
ENDANG SRIKARTI HANDAYANI S.H., M.Hum.;partai golongan karya;Jawa Tengah V
ENDANG SULASTRI M.M;partai golongan karya;Jawa Tengah IV
ENDANG SUSILOWATI S.Sos., MM.;partai nasdem;Jawa Tengah II
ENDANG SUTISNA S.Pd;partai keadilan sejahtera;Sumatera Selatan II
ENDANG TIRTANA;partai solidaritas indonesia;Sumatera Barat II
ENDEH AHMAD S.Pd;partai persatuan pembangunan;Lampung II
ENDRA TRI ATMOKO S. Tr. Rad;partai solidaritas indonesia;Jawa Tengah VII
ENDRIJON B.Sc.;partai berkarya;Sumatera Barat II
ENENG HUMAEROH Spd.I.,MUd.;partai amanat nasional;Banten I
ENGKUR S.IP., ME;partai keadilan sejahtera;Jawa Barat VIII
ENGKUS KUSNADI S.H;partai golongan karya;Jawa Barat X
ENI MULYATI;partai persatuan pembangunan;Dki Jakarta II
ENI SRI WAHYUNI SH.;partai persatuan pembangunan;Nusa Tenggara Timur I
ENI WAHYUNINGSIH;partai amanat nasional;Jawa Tengah VII
ENJANG HUDORI;partai kebangkitan bangsa;Jawa Barat II
ENNI ERYANI SH., MBA.;partai berkarya;Jawa Barat I
Dra ENNY PURI RAHAYU S.Pd., MH;partai amanat nasional;Jawa Timur III
ENOS BARRY PANGARIAN SE;persatuan indonesia;Sulawesi Tenggara
ENY HANDAYANI NINGRUM SP;partai nasdem;Jawa Tengah V
ENY KUSUMANINGRUM A.Md, SH;persatuan indonesia;Jawa Timur VI
ENY RINY SE;partai amanat nasional;Kalimantan Tengah
EPRI WAHDIYAH NASUTION S.Ag;partai kebangkitan bangsa;Sumatera Utara II
H EPYARDI ASDA M. MAR;partai amanat nasional;Dki Jakarta II
ERDILA KRISTY LARASATY;partai solidaritas indonesia;Jawa Timur VIII
ERDISON MANSUR;partai persatuan pembangunan;Sumatera Barat I
ERFANDI;partai persatuan pembangunan;Jawa Barat IX
ERHAMSYAH S.E.;persatuan indonesia;Kalimantan Timur
ERI OKTOBRI WULANTARI SH;partai persatuan pembangunan;Jawa Barat I
Drs ERI RIDWAN LATIF M.Ag;partai bulan bintang;Jawa Barat II
ERIC HERMAWAN;partai persatuan pembangunan;Jawa Timur XI
ERIC WIDJAJA;partai solidaritas indonesia;Jawa Tengah VI
ERIKA WATI MURLIANI S.K.M., M.Epid.;partai persatuan pembangunan;Jawa Tengah VIII
ERIL ARIORISTANTO DARDAK;partai amanat nasional;Jawa Timur VII
DRS ERISAL ZUHERDIS;partai amanat nasional;Sumatera Utara I
ERIZAL CHANIAGO;partai gerakan indonesia raya;Sumatera Barat II
ERIZAL EFFENDI S.H, M.H;partai nasdem;Sumatera Barat II
ERLIN AGUSTINA SH;partai gerakan indonesia raya;D. I. Yogyakarta
ERLIN SUSILASARI S.H.;partai amanat nasional;D. I. Yogyakarta
ERLINA DRA;partai amanat nasional;Sumatera Utara III
ERLINA RASIMAN;partai persatuan pembangunan;Papua
ERLINDA M.Pd;persatuan indonesia;Banten III
ERLITA DEWI S.P;partai keadilan sejahtera;Kalimantan Barat II
ERMA;partai kebangkitan bangsa;Banten I
ERMA KUSMAWATI SE;partai bulan bintang;Kepulauan RIAU
ERMA SUZANTI SE;partai nasdem;Jawa Tengah IV
DRA ERMALENA MHS;partai persatuan pembangunan;Nusa Tenggara Barat II
ERMAWATI;partai keadilan sejahtera;Jawa Timur II
ERMIADI ABDUL RAHMAN ST;partai amanat nasional;Aceh II
ERNA FONATABA;partai berkarya;Papua Barat
ERNA HERLIANI S.Pd;partai kebangkitan bangsa;Kalimantan Selatan II
ERNA RAHMAWATI;partai golongan karya;Jawa Timur I
ERNA WAHYUNINGSIH;persatuan indonesia;Nusa Tenggara Barat I
ERNADI S.H.I;partai golongan karya;Jawa Timur VIII
ERNAWATI TAHANG S.E;partai golongan karya;Sulawesi Selatan I
ERNY TAMBING S.Pd.AUD., M.Pd;partai kebangkitan bangsa;Kepulauan RIAU
ERPA YENI;partai kebangkitan bangsa;Riau I
ERVIN LUTHFI;partai gerakan indonesia raya;Jawa Barat XI
ERVINA;partai berkarya;Sumatera Utara III
ERVINA KAKA S. Pd;partai amanat nasional;Nusa Tenggara Timur II
ERWIN ARIFIN SH. MH;partai amanat nasional;Lampung II
ERWIN EKA KURNIAWAN S.E., M.Si.;partai golongan karya;Lampung I
ERWIN MOESLIMIN SINGAJURU S.H,. M.H.;partai demokrasi indonesia perjuangan;Sumatera Selatan II
ERWIN RICARDO S.E.;partai golongan karya;Dki Jakarta I
ERWIN S.H., MH;partai berkarya;Jawa Barat IV
ERWIN SIREGAR S.H., M.H;partai golongan karya;Jawa Timur I
IRJEN POL (PURN) Drs ERWIN TPL TOBING;partai demokrasi indonesia perjuangan;Kalimantan Barat I
ERY CAHYANINGRUM;partai gerakan indonesia raya;Jawa Tengah I
ERZIE ALIMSYAH;partai amanat nasional;Sumatera Barat I
ESA DIVINUBUN S.Pi.,M.Si;partai kebangkitan bangsa;Papua
Hj ESIH WARNESIH SS., M.Pd;partai gerakan indonesia raya;Jawa Barat VIII
ESTEFANUS BALAATI S.Th;partai solidaritas indonesia;Kalimantan Timur
Dr ESTHER RYAN M MANDALAWATI;partai berkarya;Dki Jakarta III
ESTI NUR KHASANAH;persatuan indonesia;Kepulauan RIAU
ESTIANA FITHRIANA DEWI;partai amanat nasional;Jawa Barat I
ETHA AISYAH HENTIHU;partai persatuan pembangunan;Maluku
Ir ETHON PARMAN LIHAWA;partai golongan karya;Gorontalo
ETI YULIATI S.Pd.I;partai bulan bintang;Jawa Timur V
ETIKA MARIA ULFA;partai persatuan pembangunan;Lampung II
ETNA MARIA DRA.;partai bulan bintang;Jawa Tengah VII
ETTY BRECHTJE TUKAYO SE;partai gerakan indonesia raya;Papua
ETTY MUSNIHATTY;partai golongan karya;Lampung II
ETTY ROBIAH AFDHAL M.A;partai golongan karya;Jawa Barat X
ETY LUSIANA;partai kebangkitan bangsa;Jawa Tengah III
ETY MEI DYAWATI;partai bulan bintang;Jawa Timur IV
EUGENIA TRIANTY ANGGEN S.Sos;partai gerakan indonesia raya;Kalimantan Tengah
DR.HJ EUIS KARWATI MPD;partai nasdem;Jawa Barat II
EUIS LAELATUSSA'ADAH;partai kebangkitan bangsa;Jawa Tengah I
EUNIKE WAHYUNINGSIH S.Pd;partai keadilan sejahtera;Sulawesi Tengah
EURICO GUTERRES SE.,MM;persatuan indonesia;Nusa Tenggara Timur II
Dr. Dra EVA DESEMBRIANITA M.M;partai golongan karya;Jawa Timur VII
EVA ELISA WIBISONO;partai golongan karya;Banten III
Hj EVA KARLENA SE;partai berkarya;Lampung I
EVA LESTARI S.IP;persatuan indonesia;Banten II
EVA MUTIA S.Sos;persatuan indonesia;Jawa Barat V
EVA NIRWANA;partai gerakan indonesia raya;Sumatera Barat II
EVA YUANITA;partai keadilan dan persatuan indonesia;Jawa Barat III
EVACHIDUN SUWANDI;partai bulan bintang;Jawa Tengah IX
EVANDRA R P SUBAGYO S.I.A;partai golongan karya;Jawa Tengah V
EVELINDA S.E., M.M;partai golongan karya;Sumatera Barat I
EVELYN;partai berkarya;Kalimantan Barat I
EVI AYUNITA S.H., M.H;partai golongan karya;Jawa Timur V
Hj EVI FATIMAH S.AG.,M.AP;partai kebangkitan bangsa;Jawa Barat VII
EVI GUSTAMAN;partai persatuan pembangunan;Jawa Barat III
EVI NURUL FELAYATI;partai persatuan pembangunan;Banten I
EVI PRATIWI HANDAYANI S.Sos;partai bulan bintang;Sumatera Utara II
EVI RISNA YANTI SH;partai keadilan sejahtera;Sumatera Utara I
EVIN NOVIA;partai kebangkitan bangsa;Jawa Tengah V
FACHRUL ROZIE;partai gerakan indonesia raya;Banten II
FACHRUZAR S.H;partai golongan karya;Sumatera Selatan II
FADHILA RULIDIYANIE A.Md.;partai kebangkitan bangsa;Jawa Timur VII
FADHLY S.T;partai golongan karya;Jawa Timur V
FADJAR FAIRY RUSNI SH;partai keadilan sejahtera;Kep. Bangka Belitung
FAHIMA INDRAWATI S. TH. I;partai keadilan sejahtera;D. I. Yogyakarta
FAHMA FARIHAH A.Md.Far;partai berkarya;Jawa Timur X
FAHMI ALFANSI PUTRA PANE S.HUT, MSI(HAN);partai persatuan pembangunan;Sumatera Utara III
Dr FAHRUDDIN SALIM SE, MM;partai persatuan pembangunan;Jawa Tengah II
FAHRUL ROZI SH;partai gerakan indonesia raya;Jawa Barat XI
FAIQATUL HIMMAH;partai persatuan pembangunan;Jawa Timur VI
FAIRUZ EL FOUZ Spd;partai nasdem;Jawa Barat XI
FAISAL AHMAD SHI;partai persatuan pembangunan;BALI
FAISAL RIDHA S.Ag., MM;partai kebangkitan bangsa;Aceh II
FAISOL;persatuan indonesia;Jawa Timur II
FAIZAL HANIF;partai berkarya;Jawa Tengah III
FAJAR B.S. LASE;partai demokrasi indonesia perjuangan;Sulawesi Tenggara
FAJAR MARTANINGSIH S. Si., A. Pt;partai keadilan sejahtera;Jawa Tengah X
FAJAR MENANTI SIMANJUNTAK;partai berkarya;Riau I
FAJAR RIZA UL HAQ MA;partai solidaritas indonesia;Jawa Barat V
FAJAR ROSMAN K;partai kebangkitan bangsa;Banten III
FAJAR SUYITNO;partai keadilan sejahtera;Jawa Barat VIII
FAJARINI;partai gerakan indonesia raya;Jawa Timur X
FAJRIANA FATNA. FS;partai golongan karya;Sulawesi Barat
FAKHRI PRAWIRA;partai golongan karya;Jawa Barat XI
FALDO MALDINI;partai amanat nasional;Jawa Barat V
FANDI S.IP;persatuan indonesia;Sulawesi Tenggara
Ir FANDI UTOMO;partai kebangkitan bangsa;Jawa Timur I
FANNY FATWATI PUTRI S.H;partai golongan karya;Jawa Tengah X
FAOZAN AMAR S.Ag, M.M.;partai demokrasi indonesia perjuangan;Jawa Tengah V
FAQIH HAKIM HASIBUAN S.Pd., M.Pd;partai keadilan sejahtera;Sumatera Utara I
FARAH DINI;partai persatuan pembangunan;Nusa Tenggara Timur II
FARAH MAHARANI FAJRIN;partai persatuan pembangunan;Jawa Tengah II
FARAH TAMALIA S.E.Ak;partai golongan karya;Jawa Timur I
FARDILA INDRIA;partai persatuan pembangunan;Papua
FARID BAKRI S.Psi.;partai golongan karya;Sulawesi Tenggara
FARID MOH SYAWAL;partai bulan bintang;Jawa Tengah III
DR FARID WADJDY M.PD;partai persatuan pembangunan;Kalimantan Timur
FARIDA AMIN;partai persatuan pembangunan;Maluku Utara
FARIDA FARICHAH M.Si;partai kebangkitan bangsa;Jawa Tengah III
FARIDZ WASHINGTON SE,.MM;persatuan indonesia;Sumatera Selatan I
FARIED WAHYUDI CAHYO MARDANI SE;partai keadilan sejahtera;Jawa Timur III
FARIZ UTAMA PUTRA BS, M.BA;partai solidaritas indonesia;Jawa Tengah III
FARIZA ANTANIA HANJANI;partai solidaritas indonesia;Jawa Timur XI
FARIZAN FAJARI WARDANA S.IP.,S.KOM;partai amanat nasional;Jawa Barat VIII
FARLAINI;partai bulan bintang;Riau II
FAROUK ABDULLAH ALWYNI SE., MA., MBA.;partai keadilan sejahtera;Dki Jakarta II
Ir FARY DJEMY FRANSCIS MMA;partai gerakan indonesia raya;Nusa Tenggara Timur II
FATAHILLAH RAMLI S.E., M.H;partai golongan karya;Nusa Tenggara Barat I
FATHOR ROHMAN;persatuan indonesia;Jawa Timur XI
FATHURRAHMAN SKM;partai keadilan sejahtera;Jawa Barat VIII
FATIMAH HUSEIN ASSEGAF MA;partai bulan bintang;Jawa Timur V
FATIMAH NURUL MA'WA;persatuan indonesia;Sulawesi Barat
FATIMAH ZUHRA;partai nasdem;Aceh II
FATIN MARDLIYATI;partai persatuan pembangunan;Jawa Tengah VIII
FATKHUR ROHMAN S.IP;partai kebangkitan bangsa;Jawa Tengah VII
FATMA MUHAMAD;persatuan indonesia;Jawa Barat XI
Hj FATMAWATI NURDIN;partai berkarya;Sulawesi Tengah
FAUDHINIA ADINDA PURBARANI SH;partai amanat nasional;BALI
Drs FAUZAN SYAIE;partai nasdem;Lampung I
FAUZI BAADILLA;partai gerakan indonesia raya;Jawa Barat VI
FAUZIAH S.Sos.;partai berkarya;Jawa Barat VIII
FAUZIAH EDDYONO;partai demokrasi indonesia perjuangan;Gorontalo
FAZWAN KUSUMADINATA S.E;partai golongan karya;Jawa Barat II
FEBBY RAHMADANI;partai gerakan indonesia raya;Riau I
FEBRI WAHYUNI SABRAN;partai solidaritas indonesia;Sumatera Barat II
FEBRIANA IRVINITA PUTRI;partai persatuan pembangunan;Jawa Tengah I
FEBRINA ST;partai solidaritas indonesia;Sumatera Barat II
FEBRINA ARDHILLAH;partai persatuan pembangunan;Papua
FEBYAN JULIUS HETHARIA;partai gerakan indonesia raya;Jawa Timur IV
FEIRUZ MELAWARDHANI CK SI;persatuan indonesia;Jawa Barat V
dr FELICITAS TALLULEMBANG;partai gerakan indonesia raya;Sulawesi Selatan III
FELIX R RANTEPADANG ST;persatuan indonesia;Kalimantan Timur
FEMY RULITA;partai gerakan indonesia raya;Lampung II
FENI FITRA RAHMAWATI SE;partai amanat nasional;D. I. Yogyakarta
FENUS ANTONIUS SE;partai gerakan indonesia raya;Sumatera Selatan II
FERA JB. SINAMBELA MSc;partai solidaritas indonesia;Banten III
FERAWATI WINDA WARIDIN;partai persatuan pembangunan;Sulawesi Utara
FERDINAND SE, MM;persatuan indonesia;Jawa Timur X
FERLYANTO;partai nasdem;Jawa Timur IV
FERRY BATARA MANURUNG SE;partai solidaritas indonesia;Jawa Barat VI
FERRY JOHAN MAINASSY S.Pi;partai gerakan indonesia raya;Maluku Utara
FERRY MUNANDAR ST;partai gerakan indonesia raya;Aceh II
FERRY ZEIN;persatuan indonesia;Sumatera Barat II
Dr FERRYAL LOETAN ASC&T ,SpKFR,MKes-MMR;partai solidaritas indonesia;Sumatera Barat I
FERY NURYANTO;partai kebangkitan bangsa;Sulawesi Utara
Drs FESTUS SIMBIAK M.Pd;partai nasdem;Papua
FICKY RHOMA IRAMA;partai amanat nasional;Nusa Tenggara Barat II
FIFI TIRTOPRODJO S.Kom;persatuan indonesia;Dki Jakarta III
FIKA NOVITA SARI S.Sos.;partai kebangkitan bangsa;Jambi
FIKRAM SH;partai berkarya;Sulawesi Selatan II
FIKRI RIZA S.Pt, SH, MH;partai bulan bintang;Jambi
FIKRI YASIN S.I.Kom M.I.Kom;partai amanat nasional;Lampung II
FILIVHIENA ANDALUSIA FAISOL SE;partai solidaritas indonesia;Jawa Barat VII
FINDI DARNA PRATIWI S. Pd;partai keadilan sejahtera;Jawa Tengah VII
FINNA LUTVIYANITA S.PD;partai kebangkitan bangsa;Sulawesi Utara
FINNY LIGERY;partai solidaritas indonesia;Lampung I
Drs FIRDAUS ANAS M.Si;partai persatuan pembangunan;Sulawesi Selatan I
Dr FIRDAUS NUR SE, MM;partai berkarya;Jambi
FIRLIE HANGGODO GANINDUTO;partai golongan karya;Jawa Tengah IV
FIRMAN HAREFA S.H.;partai solidaritas indonesia;Banten I
FIRMAN LAPIDE;partai gerakan indonesia raya;Sulawesi Tengah
